attack,snr,defense,accuracy,n_samples
pgd,8,rand_smooth,0.2913636363636364,2200
pgd,10,no_defense,0.37,2200
pgd,10,adaptive_k_v2_snr,0.4918181818181818,2200
pgd,10,adaptive_k,0.4909090909090909,2200
pgd,10,spectral_gated,0.38227272727272726,2200
pgd,10,kalman,0.38272727272727275,2200
pgd,10,wiener,0.4009090909090909,2200
pgd,10,savitzky_golay,0.4254545454545455,2200
pgd,10,gaussian,0.37681818181818183,2200
pgd,10,fir,0.4627272727272727,2200
pgd,10,rand_smooth,0.30727272727272725,2200
pgd,12,no_defense,0.37772727272727274,2200
pgd,12,adaptive_k_v2_snr,0.5009090909090909,2200
pgd,12,adaptive_k,0.4954545454545455,2200
pgd,12,spectral_gated,0.3890909090909091,2200
pgd,12,kalman,0.4304545454545455,2200
pgd,12,wiener,0.4109090909090909,2200
pgd,12,savitzky_golay,0.445,2200
pgd,12,gaussian,0.38772727272727275,2200
pgd,12,fir,0.455,2200
pgd,12,rand_smooth,0.30727272727272725,2200
pgd,14,no_defense,0.38272727272727275,2200
pgd,14,adaptive_k_v2_snr,0.4813636363636364,2200
pgd,14,adaptive_k,0.48,2200
pgd,14,spectral_gated,0.39090909090909093,2200
pgd,14,kalman,0.4395454545454546,2200
pgd,14,wiener,0.4163636363636364,2200
pgd,14,savitzky_golay,0.4486363636363636,2200
pgd,14,gaussian,0.3890909090909091,2200
pgd,14,fir,0.43363636363636365,2200
pgd,14,rand_smooth,0.2831818181818182,2200
pgd,16,no_defense,0.40454545454545454,2200
pgd,16,adaptive_k_v2_snr,0.5077272727272727,2200
pgd,16,adaptive_k,0.5036363636363637,2200
pgd,16,spectral_gated,0.41909090909090907,2200
pgd,16,kalman,0.42363636363636364,2200
pgd,16,wiener,0.4431818181818182,2200
pgd,16,savitzky_golay,0.4622727272727273,2200
pgd,16,gaussian,0.41818181818181815,2200
pgd,16,fir,0.49727272727272726,2200
pgd,16,rand_smooth,0.3018181818181818,2200
pgd,18,no_defense,0.4304545454545455,2200
pgd,18,adaptive_k_v2_snr,0.5077272727272727,2200
pgd,18,adaptive_k,0.5009090909090909,2200
pgd,18,spectral_gated,0.4459090909090909,2200
pgd,18,kalman,0.4763636363636364,2200
pgd,18,wiener,0.4640909090909091,2200
pgd,18,savitzky_golay,0.4768181818181818,2200
pgd,18,gaussian,0.4359090909090909,2200
pgd,18,fir,0.505,2200
pgd,18,rand_smooth,0.29954545454545456,2200
cw,weighted_avg,adaptive_k,0.6662727272727272,22000
cw,weighted_avg,adaptive_k_v2_snr,0.7134090909090909,22000
cw,weighted_avg,fir,0.6199545454545454,22000
cw,weighted_avg,gaussian,0.6031363636363636,22000
cw,weighted_avg,kalman,0.6517727272727273,22000
cw,weighted_avg,no_defense,0.354,22000
cw,weighted_avg,rand_smooth,0.32077272727272726,22000
cw,weighted_avg,savitzky_golay,0.6026818181818182,22000
cw,weighted_avg,spectral_gated,0.6869090909090909,22000
cw,weighted_avg,wiener,0.6155909090909091,22000
eaden,weighted_avg,adaptive_k,0.6219545454545454,22000
eaden,weighted_avg,adaptive_k_v2_snr,0.6747727272727273,22000
eaden,weighted_avg,fir,0.5699090909090909,22000
eaden,weighted_avg,gaussian,0.5370909090909091,22000
eaden,weighted_avg,kalman,0.6020454545454546,22000
eaden,weighted_avg,no_defense,0.033772727272727274,22000
eaden,weighted_avg,rand_smooth,0.31581818181818183,22000
eaden,weighted_avg,savitzky_golay,0.5567272727272727,22000
eaden,weighted_avg,spectral_gated,0.6364545454545455,22000
eaden,weighted_avg,wiener,0.5745,22000
eadl1,weighted_avg,adaptive_k,0.6619090909090909,22000
eadl1,weighted_avg,adaptive_k_v2_snr,0.7081363636363637,22000
eadl1,weighted_avg,fir,0.5789090909090909,22000
eadl1,weighted_avg,gaussian,0.5772727272727273,22000
eadl1,weighted_avg,kalman,0.6229545454545454,22000
eadl1,weighted_avg,no_defense,0.06572727272727273,22000
eadl1,weighted_avg,rand_smooth,0.31631818181818183,22000
eadl1,weighted_avg,savitzky_golay,0.5671818181818182,22000
eadl1,weighted_avg,spectral_gated,0.7018181818181818,22000
eadl1,weighted_avg,wiener,0.5914090909090909,22000
fgsm,weighted_avg,adaptive_k,0.5223181818181818,22000
fgsm,weighted_avg,adaptive_k_v2_snr,0.5196363636363637,22000
fgsm,weighted_avg,fir,0.46436363636363637,22000
fgsm,weighted_avg,gaussian,0.4595,22000
fgsm,weighted_avg,kalman,0.4676818181818182,22000
fgsm,weighted_avg,no_defense,0.48059090909090907,22000
fgsm,weighted_avg,rand_smooth,0.3055,22000
fgsm,weighted_avg,savitzky_golay,0.45640909090909093,22000
fgsm,weighted_avg,spectral_gated,0.48459090909090907,22000
fgsm,weighted_avg,wiener,0.45640909090909093,22000
pgd,weighted_avg,adaptive_k,0.4183636363636364,22000
pgd,weighted_avg,adaptive_k_v2_snr,0.4343181818181818,22000
pgd,weighted_avg,fir,0.38831818181818184,22000
pgd,weighted_avg,gaussian,0.34,22000
pgd,weighted_avg,kalman,0.36772727272727274,22000
pgd,weighted_avg,no_defense,0.3256818181818182,22000
pgd,weighted_avg,rand_smooth,0.29927272727272725,22000
pgd,weighted_avg,savitzky_golay,0.37554545454545457,22000
pgd,weighted_avg,spectral_gated,0.34854545454545455,22000
pgd,weighted_avg,wiener,0.35295454545454547,22000
